icd9in,icd9un,icd10in,icd10un
,E863.06,,W49 
,E863.07,,W50 
,E863.08,,W51 
,E863.09,,W52 
,E863.1,,W53 
,E863.10,,W54 
,E863.11,,W55 
,E863.12,,W56 
,E863.13,,W57 
,E863.14,,W58 
,E863.15,,W59 
,E863.16,,W60 
,E863.17,,W64 
,E863.18,,W65 
,E863.19,,W66 
,E863.2,,W67 
,E863.20,,W68 
,E863.21,,W69 
,E863.22,,W70 
,E863.23,,W73 
,E863.24,,W74 
,E863.25,,W75 
,E863.26,,W76 
,E863.27,,W77 
,E863.28,,W78 
,E863.29,,W79 
,E863.3,,W80 
,E863.30,,W81 
,E863.31,,W83 
,E863.32,,W84 
,E863.33,,W85 
,E863.34,,W86 
,E863.35,,W87 
,E863.36,,W88 
,E863.37,,W89 
,E863.38,,W90 
,E863.39,,W91 
,E863.4,,W92 
,E863.40,,W93 
,E863.41,,W94 
,E863.42,,W99 
,E863.43,,X00 
,E863.44,,X01 
,E863.45,,X02 
,E863.46,,X03 
,E863.47,,X04 
,E863.48,,X05 
,E863.49,,X06 
,E863.5,,X08 
,E863.50,,X09 
,E863.51,,X10 
,E863.52,,X11 
,E863.53,,X12 
,E863.54,,X13 
,E863.55,,X14 
,E863.56,,X15 
,E863.57,,X16 
,E863.58,,X17 
,E863.59,,X18 
,E863.6,,X19 
,E863.60,,X20 
,E863.61,,X21 
,E863.62,,X22 
,E863.63,,X23 
,E863.64,,X231
,E863.65,,X232
,E863.66,,X233
,E863.67,,X239
,E863.68,,X24 
,E863.69,,X25 
,E863.7,,X26 
,E863.70,,X27 
,E863.71,,X28 
,E863.72,,X29 
,E863.73,,X30 
,E863.74,,X31 
,E863.75,,X32 
,E863.76,,X33 
,E863.77,,X34 
,E863.78,,X35 
,E863.79,,X36 
,E863.8,,X37 
,E863.80,,X38 
,E863.81,,X39 
,E863.82,,X40 
,E863.83,,X43 
,E863.84,,X44 
,E863.85,,X46 
,E863.86,,X47 
,E863.87,,X48 
,E863.88,,X50 
,E863.89,,X51 
,E863.9,,X52 
,E863.90,,X53 
,E863.91,,X54 
,E863.92,,X57 
,E863.93,,X58 
,E863.94,,X59 
,E863.95,,X59.0 
,E863.96,,X59.9 
,E863.97,,Y40 
,E863.98,,Y40.0 
,E863.99,,Y40.1 
,E864,,Y40.2 
,E864.0,,Y40.3 
,E864.00,,Y40.4 
,E864.01,,Y40.5 
,E864.02,,Y40.6 
,E864.03,,Y40.7 
,E864.04,,Y40.8 
,E864.05,,Y40.9 
,E864.06,,Y41 
,E864.07,,Y41.0 
,E864.08,,Y41.1 
,E864.09,,Y41.2 
,E864.1,,Y41.3 
,E864.10,,Y41.4 
,E864.11,,Y41.5 
,E864.12,,Y41.8 
,E864.13,,Y41.9 
,E864.14,,Y42 
,E864.15,,Y42.0 
,E864.16,,Y42.1 
,E864.17,,Y42.2 
,E864.18,,Y42.3 
,E864.19,,Y42.4 
,E864.2,,Y42.5 
,E864.20,,Y42.6 
,E864.21,,Y42.7 
,E864.22,,Y42.8 
,E864.23,,Y42.9 
,E864.24,,Y43 
,E864.25,,Y43.0 
,E864.26,,Y43.1 
,E864.27,,Y43.2 
,E864.28,,Y43.3 
,E864.29,,Y43.4 
,E864.3,,Y43.5 
,E864.30,,Y43.6 
,E864.31,,Y43.8 
,E864.32,,Y43.9 
,E864.33,,Y44
,E864.34,,Y44.0 
,E864.35,,Y44.1 
,E864.36,,Y44.2 
,E864.37,,Y44.3 
,E864.38,,Y44.4 
,E864.39,,Y44.5 
,E864.4,,Y44.6 
,E864.40,,Y44.7 
,E864.41,,Y44.9 
,E864.42,,Y45 
,E864.43,,Y45.0 
,E864.44,,Y45.1 
,E864.45,,Y45.2 
,E864.46,,Y45.3 
,E864.47,,Y45.4 
,E864.48,,Y45.5 
,E864.49,,Y45.8 
,E865,,Y45.9 
,E865.0,,Y46 
